asset,periods_held,total_contribution,mean_per_period,sharpe
NEE,79,-0.00031676831550795124,-4.0097255127588764e-06,-0.4159769696013872
SLB,34,-0.0003199857130862581,-9.411344502537004e-06,-0.835526260723252
MSFT,268,-0.00033286190996269574,-1.242022052099611e-06,-0.13739870377776306
MO,217,-0.0003329167086317983,-1.5341783807916973e-06,-0.19712899449188476
PCG,6,-0.00033457874655925325,-5.576312442654221e-05,-3.6938455087683404
SYK,50,-0.0003503981980287712,-7.0079639605754236e-06,-0.7389646968274504
AFL,222,-0.0003539208331032438,-1.5942379869515486e-06,-0.18475409097056558
WRB,218,-0.0003598012318420015,-1.6504643662477133e-06,-0.18129937556312964
RF,63,-0.00036622667416930533,-5.813121812211196e-06,-0.7025796338297436
MET,48,-0.00036730893471919733,-7.652269473316612e-06,-1.0884174082581826
QCOM,97,-0.0003721770168881915,-3.836876462764861e-06,-0.19844759451790397
ED,27,-0.00037585135199257096,-1.3920420444169295e-05,-2.40564436000766
TRMB,86,-0.0003967236228697554,-4.613065382206458e-06,-0.47284890215744907
VRTX,160,-0.0004032876907321668,-2.520548067076042e-06,-0.2241450938112965
IDXX,114,-0.00040875955360053566,-3.5856101193029443e-06,-0.2610723635546833
UNP,25,-0.0004261664672754794,-1.7046658691019174e-05,-3.196281618974341
DLR,93,-0.0004287669088949431,-4.610396869838098e-06,-0.44343647404648695
ORCL,199,-0.0004373611838805481,-2.197794893872101e-06,-0.08973674964321984
AXP,282,-0.000442525404789143,-1.5692390240749752e-06,-0.14219998252843297
ACN,97,-0.000456132544735801,-4.7023973684103195e-06,-0.47251936601094086
DOV,80,-0.000538028446410379,-6.725355580129738e-06,-0.6816357185798012
DE,80,-0.0005547053041097692,-6.933816301372115e-06,-0.7589068907851984
ADBE,114,-0.0005561730562912636,-4.878711020098804e-06,-0.3366359404162291
BDX,10,-0.0005942479338516927,-5.942479338516927e-05,-2.8988551337408572
TSCO,24,-0.0006124050165065583,-2.551687568777326e-05,-2.3807978513510486
IFF,87,-0.0006243895700932712,-7.176891610267486e-06,-1.0510376215957675
DPZ,88,-0.000625890491405298,-7.112391947787478e-06,-0.4973415352307598
CE,72,-0.0006317880967749278,-8.774834677429552e-06,-0.8177755852610963
COF,190,-0.0006319465669575313,-3.326034562934375e-06,-0.28532640892146
VRSN,178,-0.0006640830003288252,-3.7308033726338495e-06,-0.38345459874806176
BAC,203,-0.0006643270349066758,-3.2725469699836247e-06,-0.3782737359543217
DGX,140,-0.0006793697105573135,-4.852640789695096e-06,-0.59575256111604
TFC,59,-0.0006803756837789679,-1.153179125049098e-05,-1.2064911509483631
SOLV,34,-0.000682449601294632,-2.0072047096900944e-05,-2.728094168257853
MAS,85,-0.0006872358162934985,-8.085127250511748e-06,-1.066021261098844
EMR,47,-0.0006924729924047208,-1.4733467923504696e-05,-1.525325536566349
